DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
Roland,141264,SPOT,10:39:14 29-Oct-2015,,,B,41.7513,-67.8874,Temperature: 42.00,10:39:14 29-Oct-2015,Status,3,147,212,41,18,211,54,,,,,,,,,,,,,,,,,,,,,,,,,
Roland,141264,SPOT,10:39:14 29-Oct-2015,,,B,41.7510,-67.8870,Temperature: 42.00,10:39:14 29-Oct-2015,Status,3,147,212,41,18,211,54,,,,,,,,,,,,,,,,,,,,,,,,,
Roland,141264,SPOT,17:49:34 29-Oct-2015,,,0,44.8807,-49.4348,Voltage: 1.44,17:49:34 29-Oct-2015,Status,223,47,90,224,23,23,129,,,,,,,,,,,,,,,,,,,,,,,,,
Roland,141264,SPOT,17:49:34 29-Oct-2015,,,0,44.8810,-49.4350,Voltage: 1.44,17:49:34 29-Oct-2015,Status,223,47,90,224,23,23,129,,,,,,,,,,,,,,,,,,,,,,,,,
Roland,141264,SPOT,06:15:27 30-Oct-2015,,,B,41.8149,-67.4030,Temperature: 98.54,06:15:27 30-Oct-2015,Status,5,157,211,47,87,67,221,,,,,,,,,,,,,,,,,,,,,,,,,
Roland,141264,SPOT,06:15:27 30-Oct-2015,,,B,41.8150,-67.4030,Temperature: 98.54,06:15:27 30-Oct-2015,Status,5,157,211,47,87,67,221,,,,,,,,,,,,,,,,,,,,,,,,,
Roland,141264,SPOT,12:55:05 30-Oct-2015,,,B,41.5182,-67.3660,Temperature: 73.02,12:55:05 30-Oct-2015,Status,5,194,203,141,14,123,181,,,,,,,,,,,,,,,,,,,,,,,,,
Roland,141264,SPOT,12:55:05 30-Oct-2015,,,B,41.5180,-67.3660,Temperature: 73.02,12:55:05 30-Oct-2015,Status,5,194,203,141,14,123,181,,,,,,,,,,,,,,,,,,,,,,,,,
Roland,141264,SPOT,13:55:34 30-Oct-2015,,,A,41.5183,-67.3700,Voltage: 1.22,13:55:34 30-Oct-2015,Status,5,171,76,206,150,30,173,,,,,,,,,,,,,,,,,,,,,,,,,
Roland,141264,SPOT,13:55:34 30-Oct-2015,,,A,41.5180,-67.3700,Voltage: 1.22,13:55:34 30-Oct-2015,Status,5,171,76,206,150,30,173,,,,,,,,,,,,,,,,,,,,,,,,,
