DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Roland,141264,SPOT,DS,1,0,0,,,06:59:15 26-Oct-2015,NP,,,,,,,,401650000,-124
Roland,141264,SPOT,DS,1,0,0,,,06:59:15 26-Oct-2015,P,,,,,,,,401650000,-124
Roland,141264,SPOT,DS,2,0,0,62,62,08:35:57 26-Oct-2015,NP,,,,,,,,401650000,-129
Roland,141264,SPOT,DS,2,0,0,62,62,08:34:55 26-Oct-2015,P,,,,,,,,401650000,-129
Roland,141264,SPOT,DS,2,0,0,46,46,10:18:56 26-Oct-2015,NK,,,,,,,,401650000,-135
Roland,141264,SPOT,DS,2,0,0,46,46,10:18:56 26-Oct-2015,K,,,,,,,,401650000,-135
Roland,141264,SPOT,DS,2,0,0,64,64,10:23:47 26-Oct-2015,SR,,,,,,,,401650000,-131
Roland,141264,SPOT,DS,2,0,0,64,64,10:23:47 26-Oct-2015,R,,,,,,,,401650000,-131
Roland,141264,SPOT,DS,2,0,0,45,45,12:45:32 26-Oct-2015,MA,,,,,,,,401650000,-133
Roland,141264,SPOT,DS,2,0,0,45,45,12:45:32 26-Oct-2015,A,,,,,,,,401650000,-133
Roland,141264,SPOT,DS,1,0,0,,,21:03:51 27-Oct-2015,NK,,,,,,,,401650000,-135
Roland,141264,SPOT,DS,1,0,0,,,21:03:51 27-Oct-2015,K,,,,,,,,401650000,-135
Roland,141264,SPOT,DS,4,0,0,72,46,19:44:09 28-Oct-2015,NP,1,33.7165,-105.7422,41.7262,-68.1202,60,,401677702,-128
Roland,141264,SPOT,DS,4,0,0,72,46,19:44:53 28-Oct-2015,P,1,33.7170,-105.7420,,,60,,401677702,-128
Roland,141264,SPOT,DS,5,0,0,107,45,20:01:17 28-Oct-2015,NN,1,41.7391,-68.1128,41.7391,-68.1128,50,,401677487,-133
Roland,141264,SPOT,DS,5,0,0,107,45,20:07:40 28-Oct-2015,N,1,41.7390,-68.1130,,,50,,401677487,-133
Roland,141264,SPOT,DS,1,0,0,,,00:20:55 29-Oct-2015,MB,B,41.7487,-68.1284,41.7487,-68.1284,8,,401677498,-135
Roland,141264,SPOT,DS,1,0,0,,,00:20:56 29-Oct-2015,B,B,41.7490,-68.1280,,,8,,401677499,-135
Roland,141264,SPOT,DS,1,0,0,,,00:58:49 29-Oct-2015,SR,B,41.7681,-68.1324,41.7681,-68.1324,8,,401677479,-134
Roland,141264,SPOT,DS,3,0,0,124,46,00:58:49 29-Oct-2015,MA,A,41.7877,-68.1399,41.7877,-68.1399,,,401677489,-114
Roland,141264,SPOT,DS,1,0,0,,,00:58:49 29-Oct-2015,R,B,41.7680,-68.1320,,,8,,401677479,-134
Roland,141264,SPOT,DS,3,0,0,124,46,01:02:12 29-Oct-2015,A,A,41.7880,-68.1400,,,,,401677489,-114
Roland,141264,SPOT,DS,1,0,0,,,06:17:38 29-Oct-2015,NP,B,41.8242,-68.1347,41.8242,-68.1347,8,,401677513,-132
Roland,141264,SPOT,DS,1,0,0,,,06:17:38 29-Oct-2015,P,B,41.8240,-68.1350,,,8,,401677513,-132
Roland,141264,SPOT,DS,6,0,0,106,58,08:00:17 29-Oct-2015,NP,2,41.7366,-67.9505,41.7366,-67.9505,58,,401677489,-121
Roland,141264,SPOT,DS,6,0,0,106,58,08:04:06 29-Oct-2015,P,2,41.7370,-67.9510,,,58,,401677489,-121
Roland,141264,SPOT,DS,4,0,0,184,104,08:56:55 29-Oct-2015,NK,1,41.7308,-67.9346,41.7308,-67.9346,58,,401677487,-130
Roland,141264,SPOT,DS,3,0,0,277,242,08:57:35 29-Oct-2015,SR,A,41.7339,-67.9367,41.7339,-67.9367,,,401677487,-131
Roland,141264,SPOT,DS,4,0,0,184,104,08:57:12 29-Oct-2015,K,1,41.7310,-67.9350,,,58,,401677488,-130
Roland,141264,SPOT,DS,3,0,0,277,242,08:57:12 29-Oct-2015,R,A,41.7340,-67.9370,,,,,401677487,-131
Roland,141264,SPOT,DS,2,0,0,131,131,10:33:02 29-Oct-2015,NK,B,41.7298,-67.8940,41.7298,-67.8940,8,,401677491,-128
Roland,141264,SPOT,DS,2,0,0,131,131,10:31:57 29-Oct-2015,K,B,41.7300,-67.8940,,,8,,401677491,-128
Roland,141264,SPOT,DS,2,0,1,81,81,10:39:54 29-Oct-2015,SR,B,41.7513,-67.8874,41.7513,-67.8874,,,401677483,-130
Roland,141264,SPOT,DS,2,0,1,81,81,10:39:14 29-Oct-2015,R,B,41.7510,-67.8870,,,,,401677483,-130
Roland,141264,SPOT,DS,2,0,0,320,320,11:41:44 29-Oct-2015,NN,B,41.7744,-67.9456,41.7744,-67.9456,8,,401677484,-129
Roland,141264,SPOT,DS,2,0,0,320,320,11:41:44 29-Oct-2015,N,B,41.7740,-67.9460,,,8,,401677484,-129
Roland,141264,SPOT,DS,5,0,0,86,46,12:14:00 29-Oct-2015,NK,2,41.8083,-67.9392,41.8083,-67.9392,58,,401677488,-130
Roland,141264,SPOT,DS,5,0,0,86,46,12:17:33 29-Oct-2015,K,2,41.8080,-67.9390,,,58,,401677488,-130
Roland,141264,SPOT,DS,1,0,0,,,13:18:15 29-Oct-2015,MA,B,41.8315,-67.9353,41.8315,-67.9353,8,,401677486,-122
Roland,141264,SPOT,DS,1,0,0,,,13:18:16 29-Oct-2015,A,B,41.8310,-67.9350,,,8,,401677486,-122
Roland,141264,SPOT,DS,2,0,0,268,268,14:56:21 29-Oct-2015,MA,B,41.8973,-67.8939,41.8973,-67.8939,8,,401677486,-118
Roland,141264,SPOT,DS,2,0,0,268,268,14:54:08 29-Oct-2015,A,B,41.8970,-67.8940,,,8,,401677486,-118
Roland,141264,SPOT,DS,1,0,0,,,15:55:01 29-Oct-2015,MB,B,41.9231,-67.8827,41.9231,-67.8827,8,,401677468,-136
Roland,141264,SPOT,DS,1,0,0,,,15:55:01 29-Oct-2015,B,B,41.9230,-67.8830,,,8,,401677468,-136
Roland,141264,SPOT,DS,5,0,1,75,43,17:51:42 29-Oct-2015,NP,0,44.8807,-49.4348,40.3893,-71.1702,40,,401676922,-122
Roland,141264,SPOT,DS,5,0,1,75,43,17:52:33 29-Oct-2015,P,0,44.8810,-49.4350,,,40,,401676922,-122
Roland,141264,SPOT,DS,4,0,0,79,47,19:32:15 29-Oct-2015,NP,0,41.8763,-67.6206,34.8053,-100.9612,40,,401677482,-125
