"id","date","lon","lat","x","y","x.se","y.se","u","v","u.se","v.se"
"160424_2013_132346",2013-07-28,-71.788,40.9869999999998,-7991.40360506753,4982.392544562,9.99999999248672e-06,9.99999998851474e-06,-4.29847323412286e-12,-1.1078963473596e-11,9.99999999994986e-06,9.99999999994966e-06
"160424_2013_132346",2013-07-29,-71.877694227025,40.8115661324635,-8001.38832074705,4956.65460735351,12.803892344317,11.7538956944564,-0.416034620438315,-1.07242646533642,0.533501706513143,0.489751343116572
"160424_2013_132346",2013-07-30,-71.499557895398,40.5106218700745,-7959.29437685989,4912.66218632356,0.9252463166477,0.64425608099978,2.19578356663733,0.335963379280178,0.408914215200658,0.340078964391857
"160424_2013_132346",2013-07-31,-71.0083874457234,40.4704836054038,-7904.61753250941,4906.80979206781,0.410149186993027,0.3074338436748,1.87714606325307,-0.388365094597794,0.217330172571806,0.197753221732167
"160424_2013_132346",2013-08-01,-70.5298839195574,40.531342923099,-7851.35076363383,4915.68481887257,0.942377390546276,0.526688342399576,1.97768346965082,0.516261911509461,0.103340713736879,0.061751197376228
"160424_2013_132346",2013-08-02,-70.2488414083546,40.470117049115,-7820.06525439546,4906.75636226169,1.92983788879301,1.81256365183574,1.98261414402003,-0.262215963605462,0.18497427702991,0.173203642602268
"160424_2013_132346",2013-08-03,-69.9963142364767,40.4852830417216,-7791.95405821056,4908.96722611322,0.249110312684317,0.199944866480483,1.51243092426039,-0.23852743998327,0.0346456872998881,0.0245016037950022
"160424_2013_132346",2013-08-04,-69.8703640287493,40.334081410198,-7777.93334522103,4886.9478471193,0.232330666639852,0.188570985942191,0.455085903450907,-0.765010260101022,0.0277296064115679,0.0196628730341326
"160424_2013_132346",2013-08-05,-69.5689622532597,40.438177418231,-7744.38145304934,4902.10192065791,0.391649511659566,0.300063919901358,1.32330895587672,1.75930473213318,0.0328181670186111,0.0239683240604112
"160424_2013_132346",2013-08-06,-69.0879328114093,40.535430347153,-7690.83350052598,4916.28117299656,0.302320867343895,0.227915803703796,2.51643079943818,1.04584160205523,0.0576090411683564,0.0362776923103244
"160424_2013_132346",2013-08-07,-68.7409945677513,40.7750659352324,-7652.21251190526,4951.30828285458,0.484475485232559,0.39269061677545,1.15861374711762,2.35921441931754,0.0376536858074007,0.0305126000312141
"160424_2013_132346",2013-08-08,-68.5531217828563,40.4457042759699,-7631.29860915683,4903.19858039095,8.69032793062081,8.55768142127603,2.12747637670641,-2.23559744355089,0.692725240635151,0.683333235187191
"160424_2013_132346",2013-08-09,-68.1358775285483,40.6741158060352,-7584.85119123085,4936.53712144878,0.456470933086104,0.37580993267312,3.15616909471064,1.04686864901894,0.0682140431176061,0.0560956064406957
