DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
Johnny,141261,SPOT,17:18:20 14-Oct-2015,Argos,A,47.7655,-37.9536,654,2861,149,47,,,,,,
Johnny,141261,SPOT,17:18:20 14-Oct-2015,Argos,A,47.7650,-37.9540,,,,,,,,,,
Johnny,141261,SPOT,18:54:18 14-Oct-2015,Argos,3,41.6089,-68.4634,246,396,153,68,,,,,,Rate of Travel: 432.0 m/s
Johnny,141261,SPOT,19:01:06 14-Oct-2015,Argos,3,41.6090,-68.4630,,,,,,,,,,Rate of Travel: 403.4 m/s
Johnny,141261,SPOT,19:20:05 14-Oct-2015,Argos,1,41.5969,-68.4334,592,1642,213,148,,,,,,Rate of Travel: 340.3 m/s
Johnny,141261,SPOT,19:51:51 14-Oct-2015,Argos,2,41.5929,-68.4157,403,805,201,14,,,,,,Rate of Travel: 269.7 m/s
Johnny,141261,SPOT,20:59:24 14-Oct-2015,Argos,2,41.5553,-68.4019,397,1677,93,67,,,,,,Rate of Travel: 187.4 m/s
Johnny,141261,SPOT,21:31:21 14-Oct-2015,Argos,1,41.5457,-68.3470,735,10916,49,79,,,,,,Rate of Travel: 163.5 m/s
Johnny,141261,SPOT,21:35:33 14-Oct-2015,Argos,1,41.5460,-68.3470,,,,,,,,,,Rate of Travel: 160.8 m/s
Johnny,141261,SPOT,22:17:49 14-Oct-2015,Argos,1,41.5109,-68.3967,546,835,357,106,,,,,,Rate of Travel: 138.4 m/s
Johnny,141261,SPOT,23:10:44 14-Oct-2015,Argos,B,41.5233,-68.2839,3885,7721,1955,82,,,,,,
Johnny,141261,SPOT,23:10:44 14-Oct-2015,Argos,B,41.5230,-68.2840,,,,,,,,,,
Johnny,141261,SPOT,01:43:02 15-Oct-2015,Argos,B,41.4406,-68.3443,11199,15147,8279,90,,,,,,
Johnny,141261,SPOT,07:13:58 15-Oct-2015,Argos,1,41.5335,-68.3659,919,13501,62,103,,,,,,
Johnny,141261,SPOT,10:59:53 15-Oct-2015,Argos,B,41.4942,-68.3266,3506,152045,80,99,,,,,,
Johnny,141261,SPOT,11:31:42 15-Oct-2015,Argos,B,41.4973,-68.3675,4357,20195,939,99,,,,,,
Johnny,141261,SPOT,13:05:15 15-Oct-2015,Argos,B,41.4867,-68.4137,2183,5144,926,103,,,,,,
