DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
106746,106746,UT,00:27:34 18-Aug-2016,,,,,,CRC 10.9,00:27:34 18-Aug-2016,Status,42,177,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106746,106746,UT,00:27:34 18-Aug-2016,,,,,,CRC 10.9,00:27:34 18-Aug-2016,Status,42,177,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106746,106746,UT,10:35:55 29-Aug-2016,,,A,41.6827,-69.1351,CRC 10.14,10:35:55 29-Aug-2016,Status,10,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106746,106746,UT,10:35:55 29-Aug-2016,,,A,41.6830,-69.1350,CRC 10.14,10:35:55 29-Aug-2016,Status,10,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106746,106746,UT,11:04:40 29-Aug-2016,,,A,41.6846,-69.2185,CRC 182.41,11:04:40 29-Aug-2016,Status,86,208,90,11,232,136,18,57,14,174,223,160,94,71,254,143,16,47,140,33,214,203,7,,,,,,,,,
106746,106746,UT,11:04:40 29-Aug-2016,,,A,41.6850,-69.2190,CRC 182.41,11:04:40 29-Aug-2016,Status,86,208,90,11,232,136,18,57,14,174,223,160,94,71,254,143,16,47,140,33,214,203,7,,,,,,,,,
106746,106746,UT,11:40:51 29-Aug-2016,,,,,,CRC 6.228,07:52:17 17-Aug-2016,Status,64,208,90,11,232,136,18,54,168,159,68,84,254,74,162,233,140,32,186,31,183,5,181,,,,,,,,,
106746,106746,UT,11:40:51 29-Aug-2016,,,,,,CRC 6.228,07:52:17 17-Aug-2016,Status,64,208,90,11,232,136,18,54,168,159,68,84,254,74,162,233,140,32,186,31,183,5,181,,,,,,,,,
106746,106746,UT,13:14:44 29-Aug-2016,,,,,,CRC 10.3,,,138,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106746,106746,UT,13:14:44 29-Aug-2016,,,,,,CRC 10.3,,,138,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106746,106746,UT,21:26:30 29-Aug-2016,,,,,,CRC 10.11,21:26:30 29-Aug-2016,Status,74,204,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106746,106746,UT,21:26:30 29-Aug-2016,,,,,,CRC 10.11,21:26:30 29-Aug-2016,Status,74,204,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106746,106746,UT,21:58:56 29-Aug-2016,,,A,41.6201,-69.2181,CRC 127.224,,,15,237,72,162,167,181,203,33,166,185,78,219,224,219,175,174,83,192,13,214,146,66,209,,,,,,,,,
106746,106746,UT,22:04:14 29-Aug-2016,,,A,41.6201,-69.2181,CRC 112.254,22:04:10 29-Aug-2016,Status,78,16,90,11,232,136,18,57,14,216,66,146,216,2,129,16,1,197,25,204,65,67,4,,,,,,,,,
106746,106746,UT,21:58:56 29-Aug-2016,,,A,41.6200,-69.2180,CRC 127.224,,,15,237,72,162,167,181,203,33,166,185,78,219,224,219,175,174,83,192,13,214,146,66,209,,,,,,,,,
106746,106746,UT,22:04:14 29-Aug-2016,,,A,41.6200,-69.2180,CRC 112.254,22:04:10 29-Aug-2016,Status,78,16,90,11,232,136,18,57,14,216,66,146,216,2,129,16,1,197,25,204,65,67,4,,,,,,,,,
106746,106746,UT,23:16:03 29-Aug-2016,,,B,41.6125,-69.2078,CRC 10.9,23:16:03 29-Aug-2016,Status,10,64,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106746,106746,UT,23:16:03 29-Aug-2016,,,B,41.6130,-69.2080,CRC 10.9,23:16:03 29-Aug-2016,Status,10,64,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106746,106746,UT,07:09:10 30-Aug-2016,,,0,41.4852,-69.1718,CRC 186.229,07:09:10 30-Aug-2016,Status,87,80,90,31,142,12,22,255,192,224,0,112,45,21,126,55,17,10,60,6,78,45,193,,,,,,,,,
106746,106746,UT,07:09:10 30-Aug-2016,,,0,41.4850,-69.1720,CRC 186.229,07:09:10 30-Aug-2016,Status,87,80,90,31,142,12,22,255,192,224,0,112,45,21,126,55,17,10,60,6,78,45,193,,,,,,,,,
106746,106746,UT,16:06:01 30-Aug-2016,,,A,41.4670,-69.1196,CRC 236.54,17:51:37 20-Aug-2016,Status,93,144,88,61,70,168,103,132,74,71,57,104,247,166,181,67,51,203,30,108,42,241,251,,,,,,,,,
106746,106746,UT,16:06:01 30-Aug-2016,,,A,41.4670,-69.1200,CRC 236.54,17:51:37 20-Aug-2016,Status,93,144,88,61,70,168,103,132,74,71,57,104,247,166,181,67,51,203,30,108,42,241,251,,,,,,,,,
106746,106746,UT,23:17:05 30-Aug-2016,,,B,41.3842,-69.4351,CRC 13.118,23:17:00 30-Aug-2016,Status,65,176,90,11,232,136,18,57,15,93,16,22,20,5,51,16,1,231,24,203,80,68,125,,,,,,,,,
106746,106746,UT,23:17:05 30-Aug-2016,,,B,41.3840,-69.4350,CRC 13.118,23:17:00 30-Aug-2016,Status,65,176,90,11,232,136,18,57,15,93,16,22,20,5,51,16,1,231,24,203,80,68,125,,,,,,,,,
