DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
106745,106745,UT,22:49:12 17-Aug-2016,Argos,3,41.5326,-70.6677,137,281,66,96,,,,,,
106745,106745,UT,22:49:12 17-Aug-2016,Argos,3,41.5326,-70.6677,137,281,66,96,,,,,,
106745,106745,UT,22:51:23 17-Aug-2016,Argos,3,41.5330,-70.6680,,,,,,,,,,
106745,106745,UT,20:42:17 28-Aug-2016,Argos,B,41.5090,-69.4320,,,,,,,,,,
106745,106745,UT,20:43:04 28-Aug-2016,Argos,B,41.5093,-69.4325,,,,,,,,,,
106745,106745,UT,22:24:30 28-Aug-2016,Argos,A,41.5030,-69.3820,,,,,,,,,,
106745,106745,UT,22:28:29 28-Aug-2016,Argos,A,41.5025,-69.3821,303,1450,63,56,,,,,,
106745,106745,UT,01:43:00 29-Aug-2016,Argos,B,41.4910,-69.3470,,,,,,,,,,
106745,106745,UT,01:47:16 29-Aug-2016,Argos,B,41.4905,-69.3468,,,,,,,,,,
106745,106745,UT,02:39:04 29-Aug-2016,Argos,B,41.6130,-69.4970,,,,,,,,,,
106745,106745,UT,07:19:07 29-Aug-2016,Argos,1,41.4010,-69.2180,,,,,,,,,,
106745,106745,UT,07:25:29 29-Aug-2016,Argos,1,41.4010,-69.2180,1407,5998,330,106,,,,,,
106745,106745,UT,11:03:06 29-Aug-2016,Argos,1,41.4298,-69.1922,778,1453,416,99,,,,,,
106745,106745,UT,11:07:28 29-Aug-2016,Argos,1,41.4300,-69.1920,,,,,,,,,,
106745,106745,UT,20:25:33 29-Aug-2016,Argos,1,41.3573,-69.0699,624,2989,130,91,,,,,,
106745,106745,UT,20:30:24 29-Aug-2016,Argos,1,41.3070,-69.1170,,,,,,,,,,
106745,106745,UT,20:32:34 29-Aug-2016,Argos,1,41.3072,-69.1172,804,2277,283,149,,,,,,
106745,106745,UT,21:25:24 29-Aug-2016,Argos,A,41.2781,-69.0892,1273,4053,400,163,,,,,,
106745,106745,UT,21:25:26 29-Aug-2016,Argos,A,41.2780,-69.0890,,,,,,,,,,
106745,106745,UT,23:03:31 29-Aug-2016,Argos,1,41.3490,-69.0850,,,,,,,,,,
106745,106745,UT,23:07:04 29-Aug-2016,Argos,1,41.3488,-69.0849,1172,3181,431,11,,,,,,
106745,106745,UT,23:15:22 29-Aug-2016,Argos,0,41.2776,-69.1408,7701,15897,3731,68,,,,,,
106745,106745,UT,23:41:09 29-Aug-2016,Argos,A,41.1275,-68.9270,34803,405351,2988,131,,,,,,
106745,106745,UT,23:41:09 29-Aug-2016,Argos,A,41.1280,-68.9270,,,,,,,,,,
106745,106745,UT,00:29:08 30-Aug-2016,Argos,A,41.3960,-68.4240,,,,,,,,,,Lon > 4 deviations from mean
106745,106745,UT,00:29:54 30-Aug-2016,Argos,A,41.3961,-68.4243,44627,,,,,,,,,Lon > 4 deviations from mean
106745,106745,UT,17:02:15 30-Aug-2016,Argos,0,41.3213,-69.2887,5327,19961,1421,107,,,,,,
106745,106745,UT,17:02:15 30-Aug-2016,Argos,0,41.3210,-69.2890,,,,,,,,,,
106745,106745,UT,18:41:20 30-Aug-2016,Argos,1,41.2980,-69.3020,,,,,,,,,,
106745,106745,UT,18:41:44 30-Aug-2016,Argos,1,41.2982,-69.3016,988,5253,185,78,,,,,,
106745,106745,UT,19:56:15 30-Aug-2016,Argos,0,41.2870,-69.3360,,,,,,,,,,
106745,106745,UT,19:59:28 30-Aug-2016,Argos,0,41.2873,-69.3356,1608,4327,597,118,,,,,,
