"deploy_id","date","argos_lc","lon","lat"
"160424_2014_141195",2014-07-12 00:00:00,"3",-71.788,40.987
"160424_2014_141195",2014-07-13 09:38:09,"B",-71.692,40.937
"160424_2014_141195",2014-07-13 21:07:26,"2",-71.172,40.58
"160424_2014_141195",2014-07-13 22:14:02,"A",-71.191,40.577
"160424_2014_141195",2014-07-14 01:22:36,"B",-71.108,40.546
"160424_2014_141195",2014-07-14 02:10:49,"B",-71.102,40.548
"160424_2014_141195",2014-07-14 06:55:49,"B",-71.085,40.529
"160424_2014_141195",2014-07-14 08:35:18,"B",-71.039,40.522
"160424_2014_141195",2014-07-14 10:25:33,"1",-70.888,40.456
"160424_2014_141195",2014-07-14 12:51:15,"B",-70.812,40.454
"160424_2014_141195",2014-07-14 13:38:08,"A",-70.903,40.437
"160424_2014_141195",2014-07-14 14:22:36,"B",-70.91,40.425
"160424_2014_141195",2014-07-14 15:21:09,"B",-70.909,40.434
"160424_2014_141195",2014-07-14 18:29:49,"0",-70.924,40.455
"160424_2014_141195",2014-07-14 20:02:18,"B",-70.927,40.453
"160424_2014_141195",2014-07-14 23:26:39,"B",-70.732,40.396
"160424_2014_141195",2014-07-15 00:07:15,"0",-70.739,40.346
"160424_2014_141195",2014-07-15 05:05:59,"B",-70.543,40.329
"160424_2014_141195",2014-07-15 06:44:02,"B",-70.44,40.311
"160424_2014_141195",2014-07-15 07:36:00,"B",-70.557,40.287
"160424_2014_141195",2014-07-15 08:24:01,"3",-70.574,40.272
"160424_2014_141195",2014-07-15 08:57:32,"1",-70.579,40.255
"160424_2014_141195",2014-07-15 10:32:15,"B",-70.578,40.226
"160424_2014_141195",2014-07-15 10:57:18,"A",-70.542,40.275
"160424_2014_141195",2014-07-15 13:16:12,"0",-70.457,40.289
"160424_2014_141195",2014-07-15 14:10:53,"A",-70.431,40.282
"160424_2014_141195",2014-07-15 15:01:44,"B",-70.434,40.277
"160424_2014_141195",2014-07-15 15:50:39,"B",-70.43,40.271
"160424_2014_141195",2014-07-15 16:35:20,"B",-70.449,40.283
"160424_2014_141195",2014-07-15 18:12:38,"1",-70.404,40.303
"160424_2014_141195",2014-07-15 19:12:36,"B",-70.396,40.304
"160424_2014_141195",2014-07-15 20:42:10,"A",-70.377,40.302
"160424_2014_141195",2014-07-15 21:15:13,"B",-70.374,40.3
"160424_2014_141195",2014-07-15 22:49:41,"B",-70.358,40.309
"160424_2014_141195",2014-07-16 01:28:28,"B",-70.336,40.334
"160424_2014_141195",2014-07-16 02:21:44,"B",-70.305,40.329
"160424_2014_141195",2014-07-16 04:54:06,"B",-70.226,40.352
"160424_2014_141195",2014-07-16 09:12:01,"0",-70.127,40.377
"160424_2014_141195",2014-07-16 10:45:27,"A",-70.11,40.372
"160424_2014_141195",2014-07-16 11:12:27,"2",-70.137,40.394
"160424_2014_141195",2014-07-16 13:50:11,"2",-70.138,40.418
"160424_2014_141195",2014-07-16 14:35:05,"B",-70.128,40.416
"160424_2014_141195",2014-07-17 01:10:26,"B",-70.008,40.465
"160424_2014_141195",2014-07-17 02:49:35,"B",-69.967,40.481
