"deploy_id","date","argos_lc","lon","lat"
"160424_2016_106746",2016-08-28 00:00:00,"3",-69.41883,41.53667
"160424_2016_106746",2016-08-29 10:38:21,"A",-69.1351,41.6827
"160424_2016_106746",2016-08-29 10:39:16,"A",-69.135,41.683
"160424_2016_106746",2016-08-29 11:04:40,"A",-69.219,41.685
"160424_2016_106746",2016-08-29 13:16:20,"B",-69.282,41.742
"160424_2016_106746",2016-08-29 21:58:56,"A",-69.218,41.62
"160424_2016_106746",2016-08-29 22:00:49,"A",-69.2181,41.6201
"160424_2016_106746",2016-08-29 23:16:03,"B",-69.208,41.613
"160424_2016_106746",2016-08-29 23:17:39,"B",-69.2078,41.6125
"160424_2016_106746",2016-08-30 02:11:08,"B",-69.13,41.637
"160424_2016_106746",2016-08-30 02:11:32,"B",-69.1296,41.637
"160424_2016_106746",2016-08-30 07:09:10,"0",-69.172,41.485
"160424_2016_106746",2016-08-30 07:14:51,"0",-69.1718,41.4852
"160424_2016_106746",2016-08-30 16:09:07,"A",-69.12,41.467
"160424_2016_106746",2016-08-30 18:40:28,"B",-69.657,41.348
"160424_2016_106746",2016-08-30 18:43:27,"B",-69.6568,41.3481
"160424_2016_106746",2016-08-30 23:16:14,"B",-69.435,41.384
"160424_2016_106746",2016-08-30 23:16:39,"B",-69.4351,41.3842
"160424_2016_106746",2016-08-31 00:20:33,"B",-69.369,41.382
"160424_2016_106746",2016-08-31 00:24:17,"B",-69.3692,41.3821
"160424_2016_106746",2016-08-31 01:50:55,"B",-69.404,41.426
"160424_2016_106746",2016-08-31 01:53:38,"B",-69.4035,41.4263
"160424_2016_106746",2016-08-31 18:29:13,"0",-69.4588,41.3846
"160424_2016_106746",2016-08-31 18:33:54,"0",-69.459,41.385
"160424_2016_106746",2016-09-01 19:58:37,"1",-69.471,41.691
"160424_2016_106746",2016-09-01 21:40:06,"B",-69.443,41.679
"160424_2016_106746",2016-09-02 01:11:33,"0",-69.615,41.683
"160424_2016_106746",2016-09-02 02:03:47,"1",-69.535,41.717
"160424_2016_106746",2016-09-03 02:31:18,"A",-69.881,41.977
