"deploy_id","date","argos_lc","lon","lat"
"160424_2016_141263",2016-08-25 00:00:00,"3",-69.326,41.487
"160424_2016_141263",2016-08-28 12:42:37,"B",-69.117,41.358
"160424_2016_141263",2016-08-28 13:28:57,"1",-69.1227,41.3484
"160424_2016_141263",2016-08-28 13:29:42,"1",-69.123,41.348
"160424_2016_141263",2016-08-28 13:35:09,"3",-69.1185,41.3489
"160424_2016_141263",2016-08-28 15:05:48,"B",-69.1186,41.3489
"160424_2016_141263",2016-08-28 16:07:58,"B",-69.1183,41.3476
"160424_2016_141263",2016-08-28 16:50:25,"B",-69.1273,41.3472
"160424_2016_141263",2016-08-28 19:01:34,"1",-69.1485,41.3542
"160424_2016_141263",2016-08-28 19:03:05,"1",-69.148,41.354
"160424_2016_141263",2016-08-28 19:59:23,"B",-69.237,41.341
"160424_2016_141263",2016-08-28 20:43:20,"B",-69.2423,41.3454
"160424_2016_141263",2016-08-28 21:35:18,"2",-69.232,41.411
"160424_2016_141263",2016-08-28 21:35:40,"2",-69.2316,41.4106
"160424_2016_141263",2016-08-28 22:23:13,"A",-69.3167,41.3963
"160424_2016_141263",2016-08-28 23:20:16,"B",-69.3118,41.4313
"160424_2016_141263",2016-08-29 02:27:54,"0",-69.364,41.45
"160424_2016_141263",2016-08-29 02:28:17,"0",-69.3635,41.4498
"160424_2016_141263",2016-08-29 09:29:21,"B",-69.4451,41.5444
"160424_2016_141263",2016-08-29 11:04:28,"A",-69.2561,41.4468
"160424_2016_141263",2016-08-29 11:05:58,"A",-69.256,41.447
"160424_2016_141263",2016-08-29 11:34:42,"0",-69.266,41.465
"160424_2016_141263",2016-08-29 11:34:43,"0",-69.266,41.465
"160424_2016_141263",2016-08-29 12:16:28,"B",-69.279,41.45
"160424_2016_141263",2016-08-29 12:16:50,"B",-69.2792,41.4505
"160424_2016_141263",2016-08-29 14:09:27,"B",-69.2729,41.4329
"160424_2016_141263",2016-08-29 14:57:21,"B",-69.2726,41.433
"160424_2016_141263",2016-08-29 15:44:12,"A",-69.2827,41.4935
"160424_2016_141263",2016-08-29 15:47:27,"A",-69.283,41.494
"160424_2016_141263",2016-08-29 16:28:48,"1",-69.2681,41.5028
"160424_2016_141263",2016-08-29 16:29:12,"1",-69.268,41.503
"160424_2016_141263",2016-08-29 17:08:10,"1",-69.2367,41.5011
"160424_2016_141263",2016-08-29 17:13:58,"1",-69.237,41.501
"160424_2016_141263",2016-08-29 20:36:26,"B",-69.1819,41.5228
"160424_2016_141263",2016-08-29 21:39:42,"B",-69.218,41.468
"160424_2016_141263",2016-08-29 21:40:04,"B",-69.2181,41.4678
"160424_2016_141263",2016-08-29 21:57:42,"B",-69.235,41.483
"160424_2016_141263",2016-08-29 22:00:43,"B",-69.235,41.4831
"160424_2016_141263",2016-08-30 09:43:49,"B",-69.3196,41.3725
"160424_2016_141263",2016-08-31 07:05:01,"B",-69.2653,41.3916
"160424_2016_141263",2016-08-31 08:47:12,"B",-69.1881,41.3672
"160424_2016_141263",2016-08-31 11:31:58,"1",-69.1432,41.3133
"160424_2016_141263",2016-08-31 11:33:29,"1",-69.143,41.313
"160424_2016_141263",2016-08-31 13:19:02,"A",-69.0951,41.375
"160424_2016_141263",2016-09-01 12:41:45,"B",-68.888,41.513
"160424_2016_141263",2016-09-02 10:46:42,"2",-68.852,41.846
"160424_2016_141263",2016-09-03 19:32:11,"B",-69.151,41.994
"160424_2016_141263",2016-09-04 09:56:33,"B",-69.066,42.156
"160424_2016_141263",2016-09-04 12:09:07,"A",-69.086,42.28
"160424_2016_141263",2016-09-04 13:37:06,"B",-69.108,42.262
"160424_2016_141263",2016-09-06 03:05:50,"B",-68.458,41.641
"160424_2016_141263",2016-09-07 00:09:16,"0",-68.332,41.307
"160424_2016_141263",2016-09-07 02:48:43,"1",-68.322,41.229
"160424_2016_141263",2016-09-08 02:22:21,"B",-68.352,41.375
"160424_2016_141263",2016-09-08 09:06:50,"2",-68.29,41.287
"160424_2016_141263",2016-09-08 10:48:27,"3",-68.214,41.218
"160424_2016_141263",2016-09-09 06:56:37,"0",-67.591,40.744
"160424_2016_141263",2016-09-09 11:13:51,"B",-67.509,40.659
"160424_2016_141263",2016-09-10 00:08:24,"1",-67.161,40.402
"160424_2016_141263",2016-09-10 00:54:05,"1",-67.204,40.431
"160424_2016_141263",2016-09-10 01:47:45,"A",-67.203,40.454
"160424_2016_141263",2016-09-10 03:27:06,"B",-67.19,40.457
"160424_2016_141263",2016-09-10 06:44:29,"1",-67.005,40.5
"160424_2016_141263",2016-09-10 08:25:39,"2",-66.973,40.516
"160424_2016_141263",2016-09-10 09:04:33,"B",-66.958,40.52
"160424_2016_141263",2016-09-10 10:41:35,"0",-66.902,40.547
"160424_2016_141263",2016-09-11 12:29:25,"0",-65.565,41.035
"160424_2016_141263",2016-09-11 14:41:40,"B",-65.488,41.063
"160424_2016_141263",2016-09-11 20:31:21,"B",-65.492,41.065
"160424_2016_141263",2016-09-12 06:24:50,"A",-64.545,40.978
"160424_2016_141263",2016-09-12 08:05:11,"B",-64.515,40.979
"160424_2016_141263",2016-09-12 13:18:17,"A",-64.263,41.069
"160424_2016_141263",2016-09-12 22:37:08,"1",-63.702,41.294
"160424_2016_141263",2016-09-12 23:03:29,"B",-63.661,41.305
"160424_2016_141263",2016-09-13 09:33:00,"B",-62.77,41.462
"160424_2016_141263",2016-09-13 11:04:53,"B",-62.919,41.305
"160424_2016_141263",2016-09-13 12:11:31,"B",-62.927,41.31
"160424_2016_141263",2016-09-13 14:41:29,"B",-62.853,41.344
"160424_2016_141263",2016-09-13 17:42:33,"B",-62.98,41.432
"160424_2016_141263",2016-09-13 19:21:55,"B",-62.962,41.438
"160424_2016_141263",2016-09-14 00:16:58,"3",-62.813,41.38
"160424_2016_141263",2016-09-14 01:15:34,"B",-62.797,41.378
"160424_2016_141263",2016-09-14 02:03:52,"B",-62.765,41.369
"160424_2016_141263",2016-09-14 11:01:35,"A",-62.586,41.184
"160424_2016_141263",2016-09-15 01:42:01,"B",-62.212,40.987
"160424_2016_141263",2016-09-15 05:49:40,"B",-62.117,40.943
"160424_2016_141263",2016-09-15 07:29:46,"A",-62.087,40.933
"160424_2016_141263",2016-09-15 08:35:33,"0",-62.068,40.909
"160424_2016_141263",2016-09-15 09:00:02,"B",-62.079,40.916
"160424_2016_141263",2016-09-16 00:35:03,"B",-61.7,40.764
"160424_2016_141263",2016-09-16 07:21:40,"B",-61.542,40.793
"160424_2016_141263",2016-09-16 21:19:55,"A",-61.183,41.069
"160424_2016_141263",2016-09-17 16:58:31,"A",-60.964,41.448
"160424_2016_141263",2016-09-18 06:53:59,"B",-60.803,41.825
"160424_2016_141263",2016-09-18 09:23:49,"A",-60.549,41.966
