"deploy_id","date","argos_lc","lon","lat"
"160424_2016_106745",2016-08-28 00:00:00,"3",-69.4275,41.5205
"160424_2016_106745",2016-08-28 20:42:17,"B",-69.432,41.509
"160424_2016_106745",2016-08-28 20:43:04,"B",-69.4325,41.5093
"160424_2016_106745",2016-08-28 22:24:30,"A",-69.382,41.503
"160424_2016_106745",2016-08-28 22:28:29,"A",-69.3821,41.5025
"160424_2016_106745",2016-08-29 01:43:00,"B",-69.347,41.491
"160424_2016_106745",2016-08-29 01:47:16,"B",-69.3468,41.4905
"160424_2016_106745",2016-08-29 07:19:07,"1",-69.218,41.401
"160424_2016_106745",2016-08-29 07:25:29,"1",-69.218,41.401
"160424_2016_106745",2016-08-29 11:03:06,"1",-69.1922,41.4298
"160424_2016_106745",2016-08-29 11:07:28,"1",-69.192,41.43
"160424_2016_106745",2016-08-29 20:30:24,"1",-69.117,41.307
"160424_2016_106745",2016-08-29 20:32:34,"1",-69.1172,41.3072
"160424_2016_106745",2016-08-29 21:25:24,"A",-69.0892,41.2781
"160424_2016_106745",2016-08-30 00:29:08,"A",-68.424,41.396
"160424_2016_106745",2016-08-30 00:29:54,"A",-68.4243,41.3961
"160424_2016_106745",2016-08-30 17:02:15,"0",-69.2887,41.3213
"160424_2016_106745",2016-08-30 18:41:20,"1",-69.302,41.298
"160424_2016_106745",2016-08-30 18:41:44,"1",-69.3016,41.2982
"160424_2016_106745",2016-08-30 19:56:15,"0",-69.336,41.287
"160424_2016_106745",2016-08-30 19:59:28,"0",-69.3356,41.2873
"160424_2016_106745",2016-08-30 21:31:48,"B",-69.443,41.351
"160424_2016_106745",2016-08-30 21:32:09,"B",-69.4433,41.3515
"160424_2016_106745",2016-08-31 00:19:46,"0",-69.4801,41.4113
"160424_2016_106745",2016-08-31 00:20:32,"0",-69.48,41.411
"160424_2016_106745",2016-08-31 18:28:15,"A",-69.2954,41.3119
"160424_2016_106745",2016-08-31 20:58:05,"1",-69.305,41.263
"160424_2016_106745",2016-08-31 21:02:55,"1",-69.3046,41.263
"160424_2016_106745",2016-08-31 22:13:36,"2",-69.3328,41.277
"160424_2016_106745",2016-08-31 22:17:50,"2",-69.333,41.277
"160424_2016_106745",2016-08-31 22:40:53,"0",-69.327,41.277
"160424_2016_106745",2016-08-31 22:44:39,"0",-69.3265,41.2771
"160424_2016_106745",2016-08-31 22:52:41,"1",-69.3311,41.2795
"160424_2016_106745",2016-09-01 18:13:33,"A",-69.088,41.338
"160424_2016_106745",2016-09-01 22:24:32,"2",-69.141,41.368
"160424_2016_106745",2016-09-02 02:51:19,"A",-69.153,41.443
"160424_2016_106745",2016-09-02 06:39:12,"1",-69.147,41.479
"160424_2016_106745",2016-09-02 10:37:39,"1",-69.152,41.482
"160424_2016_106745",2016-09-02 10:39:01,"0",-69.147,41.478
"160424_2016_106745",2016-09-02 18:06:42,"1",-69.25,41.682
"160424_2016_106745",2016-09-03 17:58:17,"0",-69.228,41.686
"160424_2016_106745",2016-09-03 22:07:56,"0",-69.147,41.665
"160424_2016_106745",2016-09-03 22:19:37,"2",-69.141,41.663
"160424_2016_106745",2016-09-04 17:41:12,"A",-68.96,41.61
