"deploy_id","date","argos_lc","lon","lat"
"160424_2015_141268",2015-10-13 00:00:00,"3",-69.42263,41.575
"160424_2015_141268",2015-10-16 10:46:34,"2",-68.5923,41.3027
"160424_2015_141268",2015-10-16 10:47:44,"2",-68.592,41.303
"160424_2015_141268",2015-10-16 10:52:17,"1",-68.58,41.301
"160424_2015_141268",2015-10-16 11:02:05,"A",-68.5545,41.293
"160424_2015_141268",2015-10-16 11:02:52,"A",-68.555,41.293
"160424_2015_141268",2015-10-16 12:38:44,"A",-68.597,41.264
"160424_2015_141268",2015-10-16 12:40:16,"A",-68.5973,41.2644
"160424_2015_141268",2015-10-16 14:33:22,"A",-68.654,41.2713
"160424_2015_141268",2015-10-16 16:57:09,"2",-68.7098,41.2882
"160424_2015_141268",2015-10-16 16:57:56,"2",-68.71,41.288
"160424_2015_141268",2015-10-16 20:14:59,"A",-68.7296,41.2478
"160424_2015_141268",2015-10-16 20:19:51,"A",-68.73,41.248
"160424_2015_141268",2015-10-16 20:36:15,"B",-68.753,41.214
"160424_2015_141268",2015-10-16 20:37:11,"B",-68.7531,41.2138
"160424_2015_141268",2015-10-17 00:37:58,"1",-68.8586,41.1319
"160424_2015_141268",2015-10-17 00:38:12,"1",-68.859,41.132
"160424_2015_141268",2015-10-17 02:45:49,"A",-68.809,41.144
"160424_2015_141268",2015-10-17 02:46:46,"A",-68.8085,41.1441
"160424_2015_141268",2015-10-17 15:51:46,"2",-68.8811,41.2096
"160424_2015_141268",2015-10-17 20:03:06,"1",-68.8605,41.1727
"160424_2015_141268",2015-10-17 20:06:52,"1",-68.861,41.173
"160424_2015_141268",2015-10-17 20:21:43,"3",-68.8589,41.1782
"160424_2015_141268",2015-10-17 20:27:15,"2",-68.8488,41.1743
"160424_2015_141268",2015-10-17 20:29:46,"2",-68.849,41.174
"160424_2015_141268",2015-10-18 00:08:01,"B",-68.843,41.119
"160424_2015_141268",2015-10-18 00:08:34,"B",-68.8432,41.1192
"160424_2015_141268",2015-10-18 00:49:34,"1",-68.8645,41.0888
"160424_2015_141268",2015-10-18 01:25:43,"0",-68.8527,41.0603
"160424_2015_141268",2015-10-18 01:25:58,"0",-68.853,41.06
"160424_2015_141268",2015-10-18 02:22:58,"A",-68.8839,41.046
"160424_2015_141268",2015-10-18 02:23:16,"A",-68.884,41.046
"160424_2015_141268",2015-10-18 03:14:04,"A",-68.878,41.052
"160424_2015_141268",2015-10-18 03:14:19,"A",-68.8783,41.0523
"160424_2015_141268",2015-10-18 11:22:40,"3",-68.8473,41.1858
"160424_2015_141268",2015-10-18 11:25:32,"3",-68.847,41.186
"160424_2015_141268",2015-10-18 11:47:18,"B",-68.86,41.165
"160424_2015_141268",2015-10-18 11:48:40,"B",-68.8598,41.1653
"160424_2015_141268",2015-10-18 12:06:16,"B",-68.8601,41.1651
"160424_2015_141268",2015-10-18 19:55:01,"B",-68.778,41.322
"160424_2015_141268",2015-10-18 19:55:37,"B",-68.7775,41.3224
"160424_2015_141268",2015-10-18 20:15:25,"2",-68.8002,41.3276
"160424_2015_141268",2015-10-18 20:17:17,"2",-68.8,41.328
"160424_2015_141268",2015-10-18 22:01:18,"0",-68.7722,41.3038
"160424_2015_141268",2015-10-18 22:02:03,"0",-68.772,41.304
