DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
106744,106744,UT,22:51:42 17-Aug-2016,,,3,41.5324,-70.6673,CRC 196.19,22:19:42 17-Aug-2016,Status,88,144,122,11,232,135,228,130,104,217,58,129,150,0,81,18,1,255,255,212,128,0,0,,,,,,,,,
106744,106744,UT,22:51:42 17-Aug-2016,,,3,41.5320,-70.6670,CRC 196.19,22:19:42 17-Aug-2016,Status,88,144,122,11,232,135,228,130,104,217,58,129,150,0,81,18,1,255,255,212,128,0,0,,,,,,,,,
106744,106744,UT,23:34:02 27-Aug-2016,,,0,41.4156,-69.1574,CRC 14.9,23:34:02 27-Aug-2016,Status,78,200,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106744,106744,UT,23:34:02 27-Aug-2016,,,0,41.4160,-69.1570,CRC 14.9,23:34:02 27-Aug-2016,Status,78,200,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106744,106744,UT,23:34:02 27-Aug-2016,,,0,41.3514,-69.1832,CRC 14.11,23:34:02 27-Aug-2016,Status,78,108,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106744,106744,UT,23:34:02 27-Aug-2016,,,0,41.3510,-69.1830,CRC 14.11,23:34:02 27-Aug-2016,Status,78,108,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106744,106744,UT,09:17:16 28-Aug-2016,,,0,48.7955,-108.1407,CRC 9.10,09:17:16 28-Aug-2016,Status,73,156,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106744,106744,UT,09:21:07 28-Aug-2016,,,0,48.7955,-108.1407,CRC 6.9,09:21:07 28-Aug-2016,Status,70,255,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106744,106744,UT,09:22:39 28-Aug-2016,,,0,48.7955,-108.1407,CRC 89.46,14:50:04 15-Aug-2016,Status,75,55,138,11,232,133,78,139,39,187,33,9,95,48,222,93,0,64,238,173,1,247,110,,,,,,,,,
106744,106744,UT,09:17:16 28-Aug-2016,,,0,48.7950,-108.1410,CRC 9.10,09:17:16 28-Aug-2016,Status,73,156,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106744,106744,UT,09:21:07 28-Aug-2016,,,0,48.7950,-108.1410,CRC 6.9,09:21:07 28-Aug-2016,Status,70,255,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106744,106744,UT,09:22:39 28-Aug-2016,,,0,48.7950,-108.1410,CRC 89.46,14:50:04 15-Aug-2016,Status,75,55,138,11,232,133,78,139,39,187,33,9,95,48,222,93,0,64,238,173,1,247,110,,,,,,,,,
106744,106744,UT,09:22:39 28-Aug-2016,,,1,41.3268,-69.1326,CRC 93.42,09:22:39 28-Aug-2016,Status,75,176,90,11,232,135,242,55,127,101,105,91,148,8,234,233,213,175,22,204,0,0,0,,,,,,,,,
106744,106744,UT,09:22:39 28-Aug-2016,,,1,41.3270,-69.1330,CRC 93.42,09:22:39 28-Aug-2016,Status,75,176,90,11,232,135,242,55,127,101,105,91,148,8,234,233,213,175,22,204,0,0,0,,,,,,,,,
106744,106744,UT,10:05:47 28-Aug-2016,,,B,41.3135,-68.9260,CRC 10.0,10:05:47 28-Aug-2016,Status,10,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
