DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
106744,106744,UT,Strong,17-Aug-2016,22:47:53,17-Aug-2016,22:47:53
106744,106744,UT,Strong,17-Feb-2017,12:29:19,17-Feb-2017,12:31:05
