DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"Beamer",132346,SPOT,2013-08-01 12:48:07,Argos,2,40.48899841,-70.44100189,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-01 13:23:11,Argos,B,40.49200058,-70.43301392,,,,,,,,,
"Beamer",132346,SPOT,2013-08-01 13:23:11,Argos,B,40.49200058,-70.43299866,,,,,,,,,
"Beamer",132346,SPOT,2013-08-02 00:15:25,Argos,B,40.52099991,-70.23799896,,,,,,,,,
"Beamer",132346,SPOT,2013-08-02 00:18:52,Argos,B,40.52099991,-70.23800659,,,,,,,,,
"Beamer",132346,SPOT,2013-08-02 03:08:57,Argos,2,40.45199966,-70.20800781,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-02 06:05:29,Argos,1,40.43700027,-70.19799805,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-02 07:44:25,Argos,2,40.45800018,-70.17999268,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-02 08:30:51,Argos,A,40.47700119,-70.18399048,,,,,,,,,
"Beamer",132346,SPOT,2013-08-02 10:15:04,Argos,2,40.50199890,-70.17999268,500,,,,,,,,
"Beamer",132346,SPOT,2013-08-02 10:29:02,Argos,1,40.51100159,-70.18301392,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-02 10:29:02,Argos,1,40.51100159,-70.18299866,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-03 00:03:06,Argos,3,40.48799896,-69.99600220,250,,,,,,,,
"Beamer",132346,SPOT,2013-08-03 00:27:13,Argos,B,40.48500061,-69.98800659,,,,,,,,,
"Beamer",132346,SPOT,2013-08-03 00:31:50,Argos,B,40.48799896,-69.98400879,,,,,,,,,
"Beamer",132346,SPOT,2013-08-03 01:01:53,Argos,1,40.45299911,-69.98300171,1500,,,,,,,,
"Beamer",132346,SPOT,2013-08-03 01:41:30,Argos,A,40.44200134,-69.97601318,,,,,,,,,
"Beamer",132346,SPOT,2013-08-03 01:41:30,Argos,A,40.44200134,-69.97599792,,,,,,,,,
