DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
132346,132346,SPOT,00:02:19 01-Jan-2014,,,B,12.1630,-73.0180,Voltage: 1.86,00:02:19 01-Jan-2014,Status,107,157,116,55,96,8,248,,,,,,,,,,,,,,,,,,,,,,,,,
132346,132346,SPOT,07:10:43 02-Jan-2014,,,3,12.2790,-73.0190,Temperature: -22.77,07:10:43 02-Jan-2014,Status,108,127,197,64,75,84,153,,,,,,,,,,,,,,,,,,,,,,,,,
132346,132346,SPOT,09:07:06 02-Jan-2014,,,0,12.3460,-73.0410,Voltage: 0.13,09:07:06 02-Jan-2014,Status,108,217,8,7,237,133,30,,,,,,,,,,,,,,,,,,,,,,,,,
132346,132346,SPOT,10:33:15 02-Jan-2014,,,3,12.3710,-73.0620,Voltage: 1.58,10:33:15 02-Jan-2014,Status,107,91,99,143,115,131,84,,,,,,,,,,,,,,,,,,,,,,,,,
132346,132346,SPOT,01:14:58 04-Jan-2014,,,0,12.2690,-73.0390,Temperature: 190.27,01:14:58 04-Jan-2014,Status,110,129,204,47,73,71,252,,,,,,,,,,,,,,,,,,,,,,,,,
132346,132346,SPOT,01:17:19 04-Jan-2014,,,0,12.2690,-73.0390,Voltage: 1.49,01:17:19 04-Jan-2014,Status,110,131,93,143,180,236,200,,,,,,,,,,,,,,,,,,,,,,,,,
132346,132346,SPOT,01:58:32 05-Jan-2014,,,1,12.5970,-73.2500,Voltage: 1.17,01:58:32 05-Jan-2014,Status,107,73,73,127,1,108,253,,,,,,,,,,,,,,,,,,,,,,,,,
132346,132346,SPOT,03:24:13 06-Jan-2014,,,B,12.5920,-73.0920,Voltage: 0.75,03:24:13 06-Jan-2014,Status,127,167,47,112,169,4,81,,,,,,,,,,,,,,,,,,,,,,,,,
132346,132346,SPOT,09:09:33 07-Jan-2014,,,3,12.8730,-72.9130,Voltage: 2.22,09:09:33 07-Jan-2014,Status,115,131,139,47,85,66,179,,,,,,,,,,,,,,,,,,,,,,,,,
132346,132346,SPOT,11:09:06 07-Jan-2014,,,A,12.9130,-72.9180,Temperature: -34.42,11:09:06 07-Jan-2014,Status,113,144,203,120,47,8,81,,,,,,,,,,,,,,,,,,,,,,,,,
