DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
141270,141270,SPOT,Weak,22-Oct-2015,19:30:04,22-Oct-2015,19:30:04
141270,141270,SPOT,Weak,09-Jul-2016,00:00:00,09-Jul-2016,00:00:00
