Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
5171,141265,7,R,B,1,01-Sep-2016,07:51:16,40.9410,-69.7280,,401677495,-136,,0,01-Sep-2016,07:51:16,,,,,,,,,,6,156,212,61,85,54,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,R,B,2,01-Sep-2016,09:36:05,41.2370,-69.4380,,401677403,-137,8,0,01-Sep-2016,09:36:06,,,,,,,,,,6,149,208,54,84,62,91,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,P,A,3,01-Sep-2016,10:08:55,41.2830,-69.2610,,401677407,-137,8,0,01-Sep-2016,10:08:56,,,185,,,,,,,6,115,207,95,87,30,127,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,P,A,3,01-Sep-2016,10:08:55,41.2830,-69.2610,,401677407,-137,8,0,01-Sep-2016,10:10:29,,,185,,,,,,,6,117,212,51,83,34,127,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,P,A,3,01-Sep-2016,10:08:55,41.2830,-69.2610,,401677407,-137,8,0,01-Sep-2016,10:12:01,,,185,,,,,,,6,87,213,48,76,18,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,N,1,4,01-Sep-2016,11:02:42,41.3310,-69.2390,,401677422,-123,57,0,01-Sep-2016,11:02:43,,,543,,,,,,,7,170,211,64,92,70,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,N,1,4,01-Sep-2016,11:02:42,41.3310,-69.2390,,401677422,-123,57,0,01-Sep-2016,11:07:50,,,543,,,,,,,7,151,212,61,92,38,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,N,1,4,01-Sep-2016,11:02:42,41.3310,-69.2390,,401677422,-123,57,0,01-Sep-2016,11:09:24,,,543,,,,,,,7,147,212,58,90,38,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,N,1,4,01-Sep-2016,11:02:42,41.3310,-69.2390,,401677422,-123,57,0,01-Sep-2016,11:10:11,,,543,,,,,,,7,161,211,68,88,26,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,N,1,4,01-Sep-2016,11:02:42,41.3310,-69.2390,,401677422,-123,57,0,01-Sep-2016,11:11:00,,,543,,,,,,,7,123,208,93,91,18,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,N,1,4,01-Sep-2016,11:02:42,41.3310,-69.2390,,401677422,-123,57,0,01-Sep-2016,11:11:46,,,543,,,,,,,7,150,211,65,92,18,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,K,1,5,01-Sep-2016,11:07:35,41.3280,-69.2150,,401677423,-122,56,0,01-Sep-2016,11:02:43,,,543,,,,,,,7,170,211,64,92,70,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,K,1,5,01-Sep-2016,11:07:35,41.3280,-69.2150,,401677423,-122,56,0,01-Sep-2016,11:03:29,,,543,,,,,,,7,160,211,63,94,46,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,K,1,5,01-Sep-2016,11:07:35,41.3280,-69.2150,,401677423,-122,56,0,01-Sep-2016,11:06:59,,,543,,,,,,,7,176,209,79,213,18,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,K,1,5,01-Sep-2016,11:07:35,41.3280,-69.2150,,401677423,-122,56,0,01-Sep-2016,11:07:50,,,543,,,,,,,7,151,212,61,92,38,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,K,1,5,01-Sep-2016,11:07:35,41.3280,-69.2150,,401677423,-122,56,0,01-Sep-2016,11:09:24,,,543,,,,,,,7,147,212,58,90,38,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,K,1,5,01-Sep-2016,11:07:35,41.3280,-69.2150,,401677423,-122,56,0,01-Sep-2016,11:11:00,,,543,,,,,,,7,123,208,93,91,18,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,K,1,5,01-Sep-2016,11:07:35,41.3280,-69.2150,,401677423,-122,56,0,01-Sep-2016,11:11:46,,,543,,,,,,,7,150,211,65,92,18,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,R,2,6,01-Sep-2016,11:10:58,41.3350,-69.2340,,401677423,-123,56,0,01-Sep-2016,11:07:50,,,236,,,,,,,7,151,212,61,92,38,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,R,2,6,01-Sep-2016,11:10:58,41.3350,-69.2340,,401677423,-123,56,0,01-Sep-2016,11:09:24,,,236,,,,,,,7,147,212,58,90,38,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,R,2,6,01-Sep-2016,11:10:58,41.3350,-69.2340,,401677423,-123,56,0,01-Sep-2016,11:10:11,,,236,,,,,,,7,161,211,68,88,26,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,R,2,6,01-Sep-2016,11:10:58,41.3350,-69.2340,,401677423,-123,56,0,01-Sep-2016,11:11:00,,,236,,,,,,,7,123,208,93,91,18,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,R,2,6,01-Sep-2016,11:10:58,41.3350,-69.2340,,401677423,-123,56,0,01-Sep-2016,11:11:46,,,236,,,,,,,7,150,211,65,92,18,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,K,A,7,01-Sep-2016,12:42:13,41.3710,-69.2250,,401677423,-133,8,0,01-Sep-2016,12:42:13,,,471,,,,,,,7,195,211,70,92,78,129,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,K,A,7,01-Sep-2016,12:42:13,41.3710,-69.2250,,401677423,-133,8,0,01-Sep-2016,12:46:58,,,471,,,,,,,23,193,151,43,11,34,129,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,K,A,7,01-Sep-2016,12:42:13,41.3710,-69.2250,,401677423,-133,8,0,01-Sep-2016,12:50:04,,,471,,,,,,,7,135,213,51,81,54,129,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,N,A,8,01-Sep-2016,12:43:51,41.3790,-69.2430,,401677426,-128,6,0,01-Sep-2016,12:43:51,,,373,,,,,,,7,172,209,63,93,78,2,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,N,A,8,01-Sep-2016,12:43:51,41.3790,-69.2430,,401677426,-128,6,0,01-Sep-2016,12:46:58,,,373,,,,,,,7,197,198,107,91,34,129,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,N,A,8,01-Sep-2016,12:43:51,41.3790,-69.2430,,401677426,-128,6,0,01-Sep-2016,12:50:04,,,373,,,,,,,7,135,213,51,81,54,129,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,P,1,9,02-Sep-2016,06:33:35,41.3230,-69.0570,,401677423,-127,50,0,02-Sep-2016,06:33:36,,,546,,,,,,,7,149,203,108,90,66,118,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,P,1,9,02-Sep-2016,06:33:35,41.3230,-69.0570,,401677423,-127,50,0,02-Sep-2016,06:38:16,,,546,,,,,,,7,141,212,51,84,62,121,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,P,1,9,02-Sep-2016,06:33:35,41.3230,-69.0570,,401677423,-127,50,0,02-Sep-2016,06:40:55,,,546,,,,,,,7,158,210,61,90,58,123,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,P,1,9,02-Sep-2016,06:33:35,41.3230,-69.0570,,401677423,-127,50,0,02-Sep-2016,06:42:42,,,546,,,,,,,23,123,207,99,91,50,93,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,P,B,10,02-Sep-2016,08:15:38,41.3060,-69.0710,,401677426,-122,8,0,02-Sep-2016,08:15:38,,,214,,,,,,,7,173,210,64,92,62,103,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,P,B,10,02-Sep-2016,08:15:38,41.3060,-69.0710,,401677426,-122,8,0,02-Sep-2016,08:19:12,,,214,,,,,,,7,150,205,97,99,78,105,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,R,B,11,02-Sep-2016,08:56:49,41.2830,-68.9890,,401677423,-132,8,0,02-Sep-2016,08:56:50,,,132,,,,,,,7,146,211,53,84,74,74,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,R,B,11,02-Sep-2016,08:56:49,41.2830,-68.9890,,401677423,-132,8,0,02-Sep-2016,08:59:02,,,132,,,,,,,7,161,210,60,92,62,76,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,P,B,12,02-Sep-2016,10:00:28,41.2770,-68.9490,,401677444,-135,7,0,02-Sep-2016,09:59:49,,,80,,,,,,,8,176,209,72,89,62,87,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,P,B,12,02-Sep-2016,10:00:28,41.2770,-68.9490,,401677444,-135,7,0,02-Sep-2016,10:01:09,,,80,,,,,,,8,166,209,67,92,50,84,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,R,A,13,02-Sep-2016,10:37:20,41.2520,-68.9650,,401677431,-127,8,0,02-Sep-2016,10:36:17,,,250,,,,,,,8,176,210,63,92,82,85,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,R,A,13,02-Sep-2016,10:37:20,41.2520,-68.9650,,401677431,-127,8,0,02-Sep-2016,10:38:24,,,250,,,,,,,8,139,212,52,82,70,85,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,R,A,13,02-Sep-2016,10:37:20,41.2520,-68.9650,,401677431,-127,8,0,02-Sep-2016,10:40:27,,,250,,,,,,,8,162,210,61,92,54,86,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,K,3,14,02-Sep-2016,10:44:40,41.2540,-68.9590,,401677432,-124,56,0,02-Sep-2016,10:36:17,,,653,,,,,,,8,176,210,63,92,82,85,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,K,3,14,02-Sep-2016,10:44:40,41.2540,-68.9590,,401677432,-124,56,0,02-Sep-2016,10:40:27,,,653,,,,,,,8,162,210,61,92,54,86,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,K,3,14,02-Sep-2016,10:44:40,41.2540,-68.9590,,401677432,-124,56,0,02-Sep-2016,10:46:24,,,653,,,,,,,8,175,210,63,94,58,87,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,K,3,14,02-Sep-2016,10:44:40,41.2540,-68.9590,,401677432,-124,56,0,02-Sep-2016,10:47:10,,,653,,,,,,,8,152,211,57,90,62,88,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,N,1,15,02-Sep-2016,10:46:46,41.2520,-68.9550,,401677431,-133,56,0,02-Sep-2016,10:46:24,,,691,,,,,,,8,175,210,63,94,58,87,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,N,1,15,02-Sep-2016,10:46:46,41.2520,-68.9550,,401677431,-133,56,0,02-Sep-2016,10:47:10,,,691,,,,,,,8,152,211,57,90,62,88,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,N,1,15,02-Sep-2016,10:46:46,41.2520,-68.9550,,401677431,-133,56,0,02-Sep-2016,10:55:34,,,691,,,,,,,8,159,211,59,91,58,89,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,N,1,15,02-Sep-2016,10:46:46,41.2520,-68.9550,,401677431,-133,56,0,02-Sep-2016,10:57:55,,,691,,,,,,,8,150,211,54,87,62,89,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141265,7,K,A,16,02-Sep-2016,12:17:18,41.2590,-68.9290,,401677427,-132,8,0,02-Sep-2016,12:16:55,,,529,,,,,,,8,168,210,65,93,42,83,,,,,,,,,,,,,,,,,,,,,,,,,
