DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
141265,141265,SPOT,12:49:27 28-Aug-2016,,,1,41.6745,-69.2348,Temperature: -22.51,12:49:27 28-Aug-2016,Status,11,194,188,32,63,4,155,,,,,,,,,,,,,,,,,,,,,,,,,
141265,141265,SPOT,12:49:27 28-Aug-2016,,,1,41.6750,-69.2350,Temperature: -22.51,12:49:27 28-Aug-2016,Status,11,194,188,32,63,4,155,,,,,,,,,,,,,,,,,,,,,,,,,
141265,141265,SPOT,13:29:20 28-Aug-2016,,,A,41.6900,-69.2483,Temperature: 63.27,13:29:20 28-Aug-2016,Status,3,145,206,168,206,151,154,,,,,,,,,,,,,,,,,,,,,,,,,
141265,141265,SPOT,13:29:20 28-Aug-2016,,,2,41.6761,-69.2329,Temperature: 43.42,13:29:20 28-Aug-2016,Status,3,145,206,111,109,199,63,,,,,,,,,,,,,,,,,,,,,,,,,
141265,141265,SPOT,13:29:20 28-Aug-2016,,,A,41.6900,-69.2480,Temperature: 63.27,13:29:20 28-Aug-2016,Status,3,145,206,168,206,151,154,,,,,,,,,,,,,,,,,,,,,,,,,
141265,141265,SPOT,13:29:20 28-Aug-2016,,,2,41.6760,-69.2330,Temperature: 43.42,13:29:20 28-Aug-2016,Status,3,145,206,111,109,199,63,,,,,,,,,,,,,,,,,,,,,,,,,
141265,141265,SPOT,14:20:39 28-Aug-2016,,,2,41.6731,-69.2200,Temperature: -79.30,14:20:39 28-Aug-2016,Status,3,162,211,68,83,240,3,,,,,,,,,,,,,,,,,,,,,,,,,
141265,141265,SPOT,14:29:00 28-Aug-2016,,,2,41.6731,-69.2200,Temperature: 105.23,14:29:00 28-Aug-2016,Status,3,109,223,65,1,251,227,,,,,,,,,,,,,,,,,,,,,,,,,
141265,141265,SPOT,14:20:39 28-Aug-2016,,,2,41.6730,-69.2200,Temperature: -79.30,14:20:39 28-Aug-2016,Status,3,162,211,68,83,240,3,,,,,,,,,,,,,,,,,,,,,,,,,
141265,141265,SPOT,14:29:00 28-Aug-2016,,,2,41.6730,-69.2200,Temperature: 105.23,14:29:00 28-Aug-2016,Status,3,109,223,65,1,251,227,,,,,,,,,,,,,,,,,,,,,,,,,
141265,141265,SPOT,11:42:11 29-Aug-2016,,,2,41.7006,-69.1674,Voltage: 4.06,11:42:11 29-Aug-2016,Status,4,139,254,97,215,33,49,,,,,,,,,,,,,,,,,,,,,,,,,
