DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
141265,141265,SPOT,22:47:37 17-Aug-2016,Argos,3,41.5331,-70.6699,166,588,47,97,,,,,,
141265,141265,SPOT,22:49:48 17-Aug-2016,Argos,3,41.5330,-70.6700,,,,,,,,,,
141265,141265,SPOT,21:11:47 27-Aug-2016,Argos,B,41.6637,-69.2264,1514,7135,321,37,,,,,,
141265,141265,SPOT,01:21:52 28-Aug-2016,Argos,B,41.6477,-69.2386,4295,5510,3348,82,,,,,,
141265,141265,SPOT,01:21:53 28-Aug-2016,Argos,B,41.6480,-69.2390,,,,,,,,,,
141265,141265,SPOT,02:56:49 28-Aug-2016,Argos,B,41.6220,-69.2370,,,,,,,,,,
141265,141265,SPOT,02:57:20 28-Aug-2016,Argos,B,41.6216,-69.2366,3990,22413,710,67,,,,,,
141265,141265,SPOT,07:31:45 28-Aug-2016,Argos,B,41.5934,-69.2327,2654,4439,1587,78,,,,,,
141265,141265,SPOT,07:31:45 28-Aug-2016,Argos,B,41.5930,-69.2330,,,,,,,,,,
141265,141265,SPOT,08:18:42 28-Aug-2016,Argos,B,41.5930,-69.2254,2653,4408,1596,57,,,,,,
141265,141265,SPOT,08:18:42 28-Aug-2016,Argos,B,41.5930,-69.2250,,,,,,,,,,
141265,141265,SPOT,09:24:06 28-Aug-2016,Argos,B,41.5990,-69.2160,,,,,,,,,,
141265,141265,SPOT,09:25:36 28-Aug-2016,Argos,B,41.5994,-69.2164,1119,7278,171,139,,,,,,
141265,141265,SPOT,11:02:50 28-Aug-2016,Argos,1,41.6485,-69.2057,1253,23801,66,101,,,,,,
141265,141265,SPOT,11:11:20 28-Aug-2016,Argos,1,41.6490,-69.2060,,,,,,,,,,
141265,141265,SPOT,11:33:00 28-Aug-2016,Argos,1,41.6653,-69.2227,627,1044,376,51,,,,,,
141265,141265,SPOT,11:35:28 28-Aug-2016,Argos,1,41.6650,-69.2230,,,,,,,,,,
141265,141265,SPOT,11:48:42 28-Aug-2016,Argos,2,41.6638,-69.2312,282,931,85,107,,,,,,
141265,141265,SPOT,11:54:23 28-Aug-2016,Argos,2,41.6640,-69.2310,,,,,,,,,,
141265,141265,SPOT,12:41:14 28-Aug-2016,Argos,1,41.6745,-69.2348,775,942,636,58,,,,,,
141265,141265,SPOT,12:41:14 28-Aug-2016,Argos,1,41.6750,-69.2350,,,,,,,,,,
141265,141265,SPOT,13:27:36 28-Aug-2016,Argos,A,41.6900,-69.2480,,,,,,,,,,
141265,141265,SPOT,13:27:55 28-Aug-2016,Argos,A,41.6900,-69.2483,3101,11501,836,92,,,,,,
141265,141265,SPOT,13:35:46 28-Aug-2016,Argos,2,41.6761,-69.2329,360,453,285,75,,,,,,
141265,141265,SPOT,14:20:57 28-Aug-2016,Argos,2,41.6731,-69.2200,482,1780,130,86,,,,,,
141265,141265,SPOT,14:31:21 28-Aug-2016,Argos,2,41.6730,-69.2200,,,,,,,,,,
141265,141265,SPOT,00:54:13 29-Aug-2016,Argos,B,41.6975,-69.2803,12453,38781,3998,76,,,,,,
141265,141265,SPOT,00:54:13 29-Aug-2016,Argos,B,41.6970,-69.2800,,,,,,,,,,
141265,141265,SPOT,07:29:09 29-Aug-2016,Argos,B,41.7519,-69.3058,18186,43682,7570,89,,,,,,
141265,141265,SPOT,07:29:10 29-Aug-2016,Argos,B,41.7520,-69.3060,,,,,,,,,,
141265,141265,SPOT,08:59:56 29-Aug-2016,Argos,A,41.6445,-69.1454,4936,24471,995,171,,,,,,
141265,141265,SPOT,08:59:56 29-Aug-2016,Argos,2,41.6646,-69.1327,361,896,145,57,,,,,,
141265,141265,SPOT,08:59:56 29-Aug-2016,Argos,A,41.6450,-69.1450,,,,,,,,,,
141265,141265,SPOT,09:08:46 29-Aug-2016,Argos,2,41.6650,-69.1330,,,,,,,,,,
141265,141265,SPOT,09:19:31 29-Aug-2016,Argos,0,41.6686,-69.1383,2438,19340,307,79,,,,,,
141265,141265,SPOT,09:21:05 29-Aug-2016,Argos,0,41.6690,-69.1380,,,,,,,,,,
141265,141265,SPOT,10:35:37 29-Aug-2016,Argos,B,41.6650,-69.1160,,,,,,,,,,
141265,141265,SPOT,10:35:59 29-Aug-2016,Argos,B,41.6645,-69.1161,4384,6941,2768,82,,,,,,
141265,141265,SPOT,11:36:42 29-Aug-2016,Argos,2,41.7006,-69.1674,422,985,180,121,,,,,,
141265,141265,SPOT,11:36:42 29-Aug-2016,Argos,2,41.7010,-69.1670,,,,,,,,,,
141265,141265,SPOT,13:18:48 29-Aug-2016,Argos,B,41.7115,-69.2241,1628,7646,346,172,,,,,,
141265,141265,SPOT,13:18:49 29-Aug-2016,Argos,B,41.7120,-69.2240,,,,,,,,,,
141265,141265,SPOT,03:55:03 30-Aug-2016,Argos,B,41.8330,-69.3970,5174,9946,2691,94,,,,,,
141265,141265,SPOT,03:55:04 30-Aug-2016,Argos,B,41.8330,-69.3970,,,,,,,,,,
141265,141265,SPOT,08:59:44 30-Aug-2016,Argos,B,41.7873,-69.3042,5067,15275,1680,91,,,,,,
