DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
141265,141265,SPOT,Weak,17-Aug-2016,22:45:12,17-Aug-2016,22:45:12
141265,141265,SPOT,Weak,01-Sep-2016,00:00:00,01-Sep-2016,00:00:00
