DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Larry,141268,SPOT,DS,3,0,0,253,48,02:03:46 19-Nov-2015,MA,A,37.6547,-67.8020,37.6547,-67.8020,7,,401677533,-126
Larry,141268,SPOT,DS,3,0,0,253,48,02:11:25 19-Nov-2015,A,A,37.6550,-67.8020,,,7,,401677533,-126
Larry,141268,SPOT,DS,2,0,2,169,169,07:23:40 19-Nov-2015,NP,B,37.6200,-67.3653,37.6200,-67.3653,8,,401677533,-127
Larry,141268,SPOT,DS,2,0,2,169,169,07:23:41 19-Nov-2015,P,B,37.6200,-67.3650,,,8,,401677533,-127
Larry,141268,SPOT,DS,2,0,0,100,100,09:06:35 19-Nov-2015,NP,B,37.6008,-67.2730,37.6008,-67.2730,8,,401677505,-129
Larry,141268,SPOT,DS,2,0,0,100,100,09:06:35 19-Nov-2015,P,B,37.6010,-67.2730,,,8,,401677505,-129
Larry,141268,SPOT,DS,3,0,0,125,50,09:20:07 19-Nov-2015,NN,A,37.6461,-67.2062,37.6461,-67.2062,,,401677535,-130
Larry,141268,SPOT,DS,3,0,0,125,50,09:21:48 19-Nov-2015,N,A,37.6460,-67.2060,,,,,401677535,-130
Larry,141268,SPOT,DS,8,0,0,55,45,11:03:46 19-Nov-2015,NN,2,37.7228,-67.0950,37.7228,-67.0950,58,,401677537,-126
Larry,141268,SPOT,DS,8,0,0,55,45,11:08:26 19-Nov-2015,N,2,37.7230,-67.0950,,,58,,401677537,-126
Larry,141268,SPOT,DS,7,0,0,70,45,11:14:18 19-Nov-2015,SR,2,37.7201,-67.0643,37.7201,-67.0643,50,,401677532,-127
Larry,141268,SPOT,DS,7,0,0,70,45,11:17:18 19-Nov-2015,R,2,37.7200,-67.0640,,,50,,401677532,-127
Larry,141268,SPOT,DS,1,0,0,,,11:59:44 19-Nov-2015,NK,B,37.7190,-67.0146,37.7190,-67.0146,8,,401677527,-135
Larry,141268,SPOT,DS,1,0,0,,,11:59:44 19-Nov-2015,K,B,37.7190,-67.0150,,,8,,401677527,-135
Larry,141268,SPOT,DS,2,0,0,298,298,01:47:58 20-Nov-2015,MA,B,37.8966,-66.9747,37.8966,-66.9747,,,401677654,-123
Larry,141268,SPOT,DS,2,0,0,298,298,01:45:29 20-Nov-2015,A,B,37.8970,-66.9750,,,,,401677654,-123
Larry,141268,SPOT,DS,1,0,0,,,05:31:17 20-Nov-2015,NP,B,38.1018,-66.7757,38.1018,-66.7757,8,,401677478,-140
Larry,141268,SPOT,DS,1,0,0,,,05:31:18 20-Nov-2015,P,B,38.1020,-66.7760,,,8,,401677478,-140
Larry,141268,SPOT,DS,7,0,1,49,46,08:54:22 20-Nov-2015,NP,1,38.4971,-66.7478,38.4971,-66.7478,57,,401677537,-129
Larry,141268,SPOT,DS,7,0,1,49,46,08:56:49 20-Nov-2015,P,1,38.4970,-66.7480,,,57,,401677537,-129
Larry,141268,SPOT,DS,5,0,2,128,45,09:05:09 20-Nov-2015,SR,1,38.5008,-66.7707,38.5008,-66.7707,50,,401677525,-126
Larry,141268,SPOT,DS,5,0,2,128,45,09:05:57 20-Nov-2015,R,1,38.5010,-66.7710,,,50,,401677525,-126
Larry,141268,SPOT,DS,4,0,1,77,47,09:09:37 20-Nov-2015,NN,1,38.4836,-66.7495,38.4836,-66.7495,50,,401677519,-130
Larry,141268,SPOT,DS,4,0,1,77,47,09:10:27 20-Nov-2015,N,1,38.4840,-66.7500,,,50,,401677519,-130
