DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
141262,141262,SPOT,22:45:43 17-Aug-2016,,,3,41.5329,-70.6703,Temperature: 80.82,22:45:43 17-Aug-2016,Status,1,133,213,60,143,191,197,,,,,,,,,,,,,,,,,,,,,,,,,
141262,141262,SPOT,22:45:43 17-Aug-2016,,,3,41.5330,-70.6700,Temperature: 80.82,22:45:43 17-Aug-2016,Status,1,133,213,60,143,191,197,,,,,,,,,,,,,,,,,,,,,,,,,
141262,141262,SPOT,09:56:22 29-Aug-2016,,,2,41.6268,-69.1092,Temperature: -20.04,09:56:22 29-Aug-2016,Status,2,151,212,54,52,192,175,,,,,,,,,,,,,,,,,,,,,,,,,
141262,141262,SPOT,09:56:22 29-Aug-2016,,,2,41.6270,-69.1090,Temperature: -20.04,09:56:22 29-Aug-2016,Status,2,151,212,54,52,192,175,,,,,,,,,,,,,,,,,,,,,,,,,
141262,141262,SPOT,11:18:17 31-Aug-2016,,,B,42.0581,-69.1177,Voltage: 0.67,11:18:17 31-Aug-2016,Status,5,169,42,205,167,181,123,,,,,,,,,,,,,,,,,,,,,,,,,
141262,141262,SPOT,11:18:17 31-Aug-2016,,,B,42.0580,-69.1180,Voltage: 0.67,11:18:17 31-Aug-2016,Status,5,169,42,205,167,181,123,,,,,,,,,,,,,,,,,,,,,,,,,
141262,141262,SPOT,10:38:27 02-Sep-2016,,,A,41.8240,-69.2290,Voltage: 1.98,10:38:27 02-Sep-2016,Status,15,198,124,20,26,109,192,,,,,,,,,,,,,,,,,,,,,,,,,
141262,141262,SPOT,10:49:55 02-Sep-2016,,,B,41.8140,-69.2310,Voltage: 0.69,10:49:55 02-Sep-2016,Status,6,87,43,207,214,66,135,,,,,,,,,,,,,,,,,,,,,,,,,
141262,141262,SPOT,10:52:17 02-Sep-2016,,,B,41.8140,-69.2310,Voltage: 0.70,10:52:17 02-Sep-2016,Status,7,70,44,199,92,74,121,,,,,,,,,,,,,,,,,,,,,,,,,
141262,141262,SPOT,01:39:04 03-Sep-2016,,,B,41.7040,-69.3150,Voltage: 2.34,01:39:04 03-Sep-2016,Status,7,146,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
