DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
141266,141266,SPOT,22:47:21 17-Aug-2016,Argos,1,39.0997,-58.3793,561,6860,45,106,,,,,,
141266,141266,SPOT,22:47:44 17-Aug-2016,Argos,1,39.1000,-58.3790,,,,,,,,,,
141266,141266,SPOT,06:32:05 11-Sep-2016,Argos,2,41.7222,-69.4402,281,538,146,122,,,,,,
141266,141266,SPOT,06:39:26 11-Sep-2016,Argos,2,41.7220,-69.4400,,,,,,,,,,
141266,141266,SPOT,08:18:21 11-Sep-2016,Argos,2,41.7057,-69.4271,355,2361,53,108,,,,,,
141266,141266,SPOT,08:22:38 11-Sep-2016,Argos,2,41.7060,-69.4270,,,,,,,,,,
141266,141266,SPOT,09:16:45 11-Sep-2016,Argos,2,41.7064,-69.4004,264,316,220,53,,,,,,
141266,141266,SPOT,09:20:33 11-Sep-2016,Argos,2,41.7060,-69.4000,,,,,,,,,,
141266,141266,SPOT,09:56:26 11-Sep-2016,Argos,1,41.7076,-69.3973,845,2359,302,67,,,,,,
141266,141266,SPOT,09:58:54 11-Sep-2016,Argos,1,41.7080,-69.3970,,,,,,,,,,
141266,141266,SPOT,10:13:21 11-Sep-2016,Argos,B,41.7073,-69.3945,1889,2685,1328,81,,,,,,
141266,141266,SPOT,10:13:21 11-Sep-2016,Argos,B,41.7070,-69.3940,,,,,,,,,,
141266,141266,SPOT,12:29:08 11-Sep-2016,Argos,B,41.7138,-69.3677,4285,6739,2723,105,,,,,,
141266,141266,SPOT,12:29:09 11-Sep-2016,Argos,B,41.7140,-69.3680,,,,,,,,,,
141266,141266,SPOT,13:46:09 11-Sep-2016,Argos,B,41.6869,-69.2396,2030,23631,174,15,,,,,,
141266,141266,SPOT,14:32:00 11-Sep-2016,Argos,1,41.6470,-69.1830,,,,,,,,,,
141266,141266,SPOT,14:32:26 11-Sep-2016,Argos,1,41.6474,-69.1829,1295,18434,90,100,,,,,,
141266,141266,SPOT,16:57:55 11-Sep-2016,Argos,A,41.6659,-69.1188,4626,24895,859,78,,,,,,
141266,141266,SPOT,16:57:56 11-Sep-2016,Argos,A,41.6660,-69.1190,,,,,,,,,,
141266,141266,SPOT,19:58:27 11-Sep-2016,Argos,B,41.5920,-69.0580,,,,,,,,,,
141266,141266,SPOT,20:00:03 11-Sep-2016,Argos,B,41.5921,-69.0580,2673,20293,352,122,,,,,,
141266,141266,SPOT,22:10:03 11-Sep-2016,Argos,0,41.6170,-69.0525,2337,83099,65,77,,,,,,
141266,141266,SPOT,22:10:04 11-Sep-2016,Argos,0,41.6170,-69.0520,,,,,,,,,,
141266,141266,SPOT,23:56:06 11-Sep-2016,Argos,B,41.5985,-69.0920,2277,10348,501,14,,,,,,
141266,141266,SPOT,23:56:06 11-Sep-2016,Argos,B,41.5980,-69.0920,,,,,,,,,,
141266,141266,SPOT,00:14:29 12-Sep-2016,Argos,B,41.5990,-69.0919,2443,4486,1330,16,,,,,,
