DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
141263,141263,SPOT,Weak,17-Aug-2016,22:49:29,17-Aug-2016,22:49:29
141263,141263,SPOT,Weak,01-Sep-2016,00:00:00,01-Sep-2016,00:00:00
