DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
106748,106748,UT,Weak,17-Aug-2016,22:46:52,17-Aug-2016,22:46:52
106748,106748,UT,Strong,28-Aug-2016,02:58:28,28-Aug-2016,02:58:31
106748,106748,UT,Strong,23-Nov-2016,07:50:05,23-Nov-2016,07:50:34
